E-MBT;E-BSL;E-GER;CO2rate;;G-AVE
57.57041452;15.594645;31.17845761;0;;35.85134461
57.57041452;15.594645;31.17845761;0;;35.85134461
57.57041452;15.594645;31.17845761;0;;35.85134461
39.88096015;15.594645;31.17845761;0;;35.85134461
39.88096015;39.532089;39.532089;0;;35.85134461
39.88096015;39.532089;39.532089;0;;35.85134461
39.88096015;39.532089;39.532089;0;;35.85134461
39.88096015;39.532089;39.532089;0;;37.0286642
39.88096015;39.532089;39.532089;0;;37.0286642
50.41021718;39.532089;39.532089;0;;37.0286642
39.88096015;15.594645;39.532089;0;;37.0286642
39.88096015;15.594645;31.17845761;0;;37.0286642
39.88096015;15.594645;31.17845761;0;;37.0286642
39.88096015;15.594645;31.17845761;0;;37.0286642
39.88096015;15.594645;31.17845761;0;;37.0286642
39.88096015;15.594645;39.532089;0;;37.0286642
39.88096015;15.594645;39.532089;0;;37.0286642
39.88096015;20.05232324;39.532089;0;;37.0286642
71.93707914;20.05232324;39.532089;0.000209432;;37.0286642
90.86748244;20.05232324;39.532089;0.000603522;;37.0286642
90.86748244;20.05232324;39.532089;0.000624025;;37.0286642
90.86748244;15.594645;39.532089;0.000624247;;37.0286642
90.86748244;15.594645;39.532089;0.000625168;;37.0286642
90.86748244;15.594645;39.532089;0.000626037;;35.91215437
90.86748244;15.594645;39.532089;0.000609841;;35.85134461
63.18890769;15.594645;31.17845761;0.000425381;;35.85134461
63.18890769;15.594645;31.17845761;0.000420911;;35.85134461
63.18890769;15.594645;31.17845761;0.000421014;;35.85134461
63.18890769;15.594645;31.17845761;0.000424026;;35.85134461
63.18890769;15.594645;31.17845761;0.000424754;;35.85134461
63.18890769;15.594645;31.17845761;0.000424494;;35.85134461
63.18890769;15.594645;39.532089;0.000420817;;37.0286642
109.8069397;15.594645;39.532089;0.003341649;;37.0286642
109.8069397;15.594645;39.532089;0.004507656;;37.0286642
109.8069397;15.594645;39.532089;0.00347243;;37.0286642
108.8395608;15.594645;31.17845761;0.001436369;;37.0286642
108.8395608;15.594645;31.17845761;0.001309115;;37.0286642
108.8395608;15.594645;31.17845761;0.001852352;;37.0286642
109.8069397;15.594645;31.17845761;0.002853863;;37.0286642
109.8069397;15.594645;39.532089;0.003750301;;37.0286642
133.627048;15.594645;71.54846016;0.006931617;;37.0286642
133.627048;71.54846016;71.54846016;0.010636136;;37.0286642
133.627048;71.54846016;71.54846016;0.010362463;;37.0286642
137.8176916;71.54846016;71.54846016;0.010270265;;37.0286642
137.8176916;71.54846016;71.54846016;0.01033386;;37.0286642
137.8176916;56.79155453;71.54846016;0.009910329;;37.0286642
133.627048;56.79155453;56.79155453;0.007026858;;37.0286642
133.627048;56.79155453;56.79155453;0.004242736;;36.99773637
133.627048;56.79155453;56.79155453;0.005947665;;35.91215437
109.8069397;56.79155453;56.79155453;0.010168558;;35.85134461
109.8069397;71.54846016;71.54846016;0.01606167;;35.85134461
109.8069397;75.76936252;75.76936252;0.018253071;;35.85134461
109.8069397;107.9226535;107.9226535;0.076108045;;36.32077293
109.8069397;109.1024723;109.1024723;0.165869539;;37.0286642
109.8069397;109.5955745;109.5955745;0.18338644;;37.0286642
109.8069397;109.8069397;109.8069397;0.195618827;;37.0286642
133.627048;112.7883747;112.7883747;0.19388957;;37.0286642
133.627048;112.7883747;112.7883747;0.164446739;;37.0286642
133.627048;112.7883747;112.7883747;0.148637461;;37.0286642
133.627048;112.7883747;112.7883747;0.134091908;;37.0286642
110.0213809;110.0213809;110.0213809;0.11196295;;37.0286642
109.8069397;109.8069397;109.8069397;0.108541395;;37.0286642
109.8069397;109.1024723;109.1024723;0.083935616;;37.0286642
109.8069397;109.1024723;109.1024723;0.059228538;;37.0286642
133.627048;89.7834862;89.7834862;0.015047058;;37.0286642
133.627048;74.10526016;89.7834862;0.011693688;;37.0286642
133.627048;89.7834862;89.7834862;0.012336963;;37.0286642
133.627048;89.7834862;89.7834862;0.014084353;;37.0286642
133.627048;110.4598607;110.4598607;0.075196089;;37.0286642
111.4048778;111.4048778;111.4048778;0.136874393;;37.0286642
111.4048778;111.4048778;111.4048778;0.248740684;;37.0286642
110.4598607;110.4598607;110.4598607;0.260902296;;37.0286642
110.4598607;110.4598607;110.4598607;0.273330801;;37.0286642
110.4598607;110.4598607;110.4598607;0.285716802;;37.0286642
109.8069397;109.8069397;109.8069397;0.285716802;;37.0286642
109.8069397;109.8069397;109.8069397;0.273330801;;37.0286642
109.8069397;109.8069397;109.8069397;0.273330801;;37.0286642
109.8069397;109.8069397;109.8069397;0.273330801;;37.0286642
109.8069397;109.8069397;109.8069397;0.2727493;;37.0286642
109.8069397;109.8069397;109.8069397;0.256728045;;37.0286642
111.4048778;111.4048778;111.4048778;0.251075902;;37.0286642
133.627048;133.627048;133.627048;0.217863505;;37.0286642
133.627048;133.627048;133.627048;0.178928376;;37.0286642
110.4598607;110.4598607;110.4598607;0.139424062;;37.0286642
111.4048778;111.4048778;111.4048778;0.16081095;;37.0286642
111.4048778;111.4048778;111.4048778;0.145597657;;37.0286642
111.4048778;111.4048778;111.4048778;0.131967166;;37.0286642
133.627048;111.4048778;111.4048778;0.137628148;;37.0286642
133.627048;133.627048;133.627048;0.190136423;;37.0286642
166.3254095;155.4199618;155.4199618;0.22051204;;37.0286642
166.3254095;155.4199618;155.4199618;0.195345071;;37.0286642
166.3254095;155.4199618;155.4199618;0.204166627;;37.0286642
166.3254095;155.4199618;155.4199618;0.204166627;;37.0286642
166.3254095;155.4199618;155.4199618;0.18379345;;37.0286642
166.3254095;133.627048;133.627048;0.182878381;;37.0286642
166.3254095;155.4199618;155.4199618;0.194106133;;37.0286642
155.4199618;155.4199618;155.4199618;0.221062828;;37.0286642
133.627048;133.627048;133.627048;0.202295427;;37.0286642
133.627048;123.8887558;123.8887558;0.193819554;;37.0286642
133.627048;123.8887558;123.8887558;0.19041023;;37.0286642
133.627048;123.8887558;123.8887558;0.18230008;;37.0286642
133.627048;123.8887558;123.8887558;0.172070155;;37.0286642
133.627048;133.627048;133.627048;0.176690998;;37.0286642
133.627048;133.627048;133.627048;0.177022437;;37.0286642
166.3254095;155.4199618;155.4199618;0.16462741;;37.0286642
166.3254095;155.4199618;155.4199618;0.160481377;;37.0286642
166.3254095;155.4199618;155.4199618;0.142926612;;37.0286642
133.627048;133.627048;133.627048;0.122271517;;37.0286642
133.627048;111.4048778;111.4048778;0.094068669;;37.0286642
133.627048;111.4048778;111.4048778;0.088466971;;37.0286642
133.627048;111.4048778;111.4048778;0.090324724;;37.0286642
133.627048;111.4048778;111.4048778;0.114821928;;37.0286642
166.3254095;133.627048;133.627048;0.138538579;;37.0286642
166.3254095;133.627048;133.627048;0.137667025;;37.0286642
166.3254095;139.8151143;139.8151143;0.164534043;;37.0286642
166.3254095;139.8151143;139.8151143;0.160770981;;37.0286642
166.3254095;139.8151143;139.8151143;0.164855093;;37.0286642
166.3254095;127.4389817;127.4389817;0.144452995;;37.0286642
166.3254095;111.4048778;111.4048778;0.1378792;;37.0286642
166.3254095;109.1024723;109.1024723;0.109810043;;37.0286642
166.3254095;109.1024723;109.1024723;0.114972215;;37.0286642
133.627048;109.1024723;109.1024723;0.105926492;;37.0286642
133.627048;109.1024723;109.1024723;0.094743314;;37.0286642
133.627048;109.1024723;109.1024723;0.106677762;;37.0286642
133.627048;109.1024723;109.1024723;0.066427267;;37.0286642
133.627048;109.1024723;109.1024723;0.090551385;;37.0286642
124.6573262;109.1024723;109.1024723;0.056175603;;37.0286642
124.6573262;109.1024723;109.1024723;0.07372808;;37.0286642
133.627048;110.4598607;110.4598607;0.134931892;;37.0286642
133.627048;110.4598607;110.4598607;0.127390583;;37.0286642
133.627048;109.1024723;109.1024723;0.099523014;;37.0286642
133.627048;109.1024723;109.1024723;0.088919292;;37.0286642
133.627048;109.1024723;109.1024723;0.07286573;;37.0286642
133.627048;109.1024723;109.1024723;0.038058873;;37.0286642
133.627048;109.1024723;109.1024723;0.021559876;;37.0286642
133.627048;109.1024723;109.1024723;0.065814737;;37.0286642
133.627048;110.4598607;110.4598607;0.119151318;;37.0286642
133.627048;133.627048;133.627048;0.154791791;;37.0286642
133.627048;133.627048;133.627048;0.159726705;;37.0286642
136.9371074;136.9371074;136.9371074;0.147002866;;37.0286642
156.3806748;136.9371074;136.9371074;0.161177013;;37.0286642
133.627048;133.627048;133.627048;0.181113285;;37.0286642
133.627048;133.627048;133.627048;0.189115866;;37.0286642
133.627048;133.627048;133.627048;0.212891032;;37.0286642
